Headline
LibRedirect – Redirects popular sites to alternative privacy-friendly frontends
TPU Deep Dive
"Git Notes: Git's coolest, most unloved­ feature (2022)"
"Sound As Pure Form: Music Language Inspired by Supercollider, APL, and Forth"
"Harry Brearley, the creator of stainless steel (2016)"
"Mbake – A Makefile formatter and linter, that only took 50 years"
P-Hacking in Startups
Show HN: I'm building an app to replace Overleaf and Notion
Low-Temperature Additive Manufacturing of Glass
LaborBerlin: State-of-the-Art 16mm Projector
Type Inference Zoo
Remote MCP Support in Claude Code
Largest Wildlife Bridge Spanning 10 Lanes of CA 101 Is Nearly Complete
Denmark's Archaeology Experiment Is Paying Off in Gold and Knowledge
Airpass – Easily overcome WiFi time limits
When Humans Learned to Live Everywhere
The Great Egg Heist
Using an $8 smart outlet to avoid brainrot
U.S. bombs Iranian nuclear sites
Requiem for a Solar Plant
Phoenix.new – Remote AI Runtime for Phoenix
uBlock Origin Lite Beta for Safari iOS
Avoiding the Global Lobotomy
The bad boy of bar charts: William Playfair (2023)
Delta Chat is a decentralized and secure messenger app
Using Microsoft's New CLI Text Editor on Ubuntu
Scaling our observability platform by embracing wide events and replacing OTel
Tell HN: Beware confidentiality agreements that act as lifetime non competes
Unexpected security footguns in Go's parsers
AllTracker: Efficient Dense Point Tracking at High Resolution
